recording_num	first_language	origin_city	origin_country	Age	Gender	Experience	classification	file_name	language_symbol	date_added
35	arabic	jiddah	saudi arabia	56	male	16	naturalistic	arabic35.mov	acw	3/16/2012 19:28
36	arabic	jiddah	saudi arabia	36	male	6	academic	arabic36.mov	acw	3/16/2012 19:28
37	arabic	jiddah	saudi arabia	18	male	16	academic	arabic37.mov	acw	2/8/2013 8:13
38	arabic	shady grove	usa	19	female	9	academic	arabic38.mov	acw	2/10/2013 14:20
39	arabic	jiddah	saudi arabia	22	male	5	academic	arabic39.mov	acw	2/10/2013 14:20
40	arabic	jiddah	saudi arabia	19	male	13	academic	arabic40.mov	acw	2/10/2013 14:21
41	arabic	riyadh	saudi arabia	25	male	7	academic	arabic41.mov	acw	2/11/2013 20:37
42	arabic	jiddah	saudi arabia	21	male	13	academic	arabic42.mov	acw	2/10/2013 14:21
43	arabic	beirut	lebanon	29	female	8	academic	arabic43.mov	apc	2/11/2013 20:37
44	arabic	jiddah	saudi arabia	29	female	7	academic	arabic44.mov	acw	2/11/2013 20:38
45	arabic	fort collins	usa	32	female	12	naturalistic	arabic45.mov	acw	2/11/2013 20:38
46	arabic	jiddah	saudi arabia	28	male	13	academic	arabic46.mov	acw	2/11/2013 20:39
47	arabic	jiddah	saudi arabia	39	male	16	academic	arabic47.mov	acw	2/11/2013 20:39
48	arabic	mecca	saudi arabia	29	male	12	academic	arabic48.mov	acw	2/11/2013 20:39
49	arabic	medina	saudi arabia	26	male	8	academic	arabic49.mov	acw	2/11/2013 20:40
50	arabic	jiddah	saudi arabia	36	male	22	academic	arabic50.mov	acw	2/11/2013 20:40
51	arabic	jiddah	saudi arabia	23	male	12	academic	arabic51.mov	acw	2/11/2013 20:40
52	arabic	jiddah	saudi arabia	21	female	9	academic	arabic52.mov	acw	2/11/2013 20:41
53	arabic	rabat	morocco	36	male	17	academic	arabic53.mov	ary	2/11/2013 20:42
54	arabic	baghdad	iraq	22	male	7	academic	arabic54.mov	afb	3/5/2012 13:13
55	arabic	beirut	lebanon	70	male	33	academic	arabic55.mov	apc	3/10/2012 21:14
56	arabic	ain defla	algeria	43	male	12	academic	arabic56.mov	arq	10/9/2012 22:58
57	arabic	beirut	lebanon	28	female	17	academic	arabic57.mov	apc	11/18/2012 18:25
58	arabic	baghdad	iraq	34	male	9	academic	arabic58.mov	afb	11/18/2012 18:25
59	arabic	irbid	jordan	55	male	9	academic	arabic59.mov	ajp	11/18/2012 20:12
60	arabic	cairo	egypt	60	male	14	academic	arabic60.mov	arz	11/25/2012 20:50
61	arabic	manama	bahrain	20	male	7	academic	arabic61.mov	afb	7/8/2013 23:48
62	arabic	ad dammam	saudi arabia	19	male	18	academic	arabic62.mov	ars	7/26/2013 20:55
63	arabic	bani walid	libya	28	female	10	academic	arabic63.mov	ayl	7/29/2013 21:14
64	arabic	riyadh	saudi arabia	23	male	6	naturalistic	arabic64.mov	ars	9/16/2013 8:55
65	arabic	samail	oman	32	female	10	academic	arabic65.mov	acx	11/28/2013 10:26
66	arabic	medina	saudi arabia	50	male	14	academic	arabic66.mov	ars	9/29/2013 19:46
67	arabic	nasriah	iraq	43	male	22	academic	arabic67.mov	afb	10/1/2013 22:54
68	arabic	london	uk	20	male	6	naturalistic	arabic68.mov	ars	11/4/2013 21:48
69	arabic	kerma	sudan	55	female	15	academic	arabic69.mov	apd	11/10/2013 19:58
70	arabic	casablanca	morocco	47	male	16	academic	arabic70.mov	ary	11/16/2013 12:00
71	arabic	kuwait city	kuwait	29	female	21	naturalistic	arabic71.mov	afb	11/16/2013 14:19
72	arabic	baghdad	iraq	20	female	11	academic	arabic72.mov	afb	11/17/2013 16:57
73	arabic	nazareth	israel	47	female	7	academic	arabic73.mov	ajp	11/18/2013 7:21
74	arabic	alexandria	egypt	18	male	4	academic	arabic74.mov	arz	12/6/2013 21:24
1	armenian	yerevan	armenia	19	female	9	academic	armenian1.mov	hye	6/15/2005 17:09
2	armenian	tehran	iran	44	female	7	academic	armenian2.mov	hye	8/5/2005 15:14
3	armenian	yerevan	armenia	54	female	12	academic	armenian3.mov	hye	3/24/2008 11:37
4	armenian	tbilisi	republic of georgia	27	female	12	academic	armenian4.mov	hye	11/6/2008 22:16
5	armenian	yerevan	armenia	21	female	15	academic	armenian5.mov	hye	11/6/2008 22:17
6	armenian	armavir	russia	23	male	11	academic	armenian6.mov	hye	3/17/2011 9:51
7	armenian	tehran	iran	31	male	10	academic	armenian7.mov	hye	3/9/2012 21:20
8	armenian	yerevan	armenia	50	female	35	naturalistic	armenian8.mov	hye	11/25/2012 19:45
1	azerbaijani	naxcivan	azerbaijan	24	male	14	academic	azerbaijani1.mov	azj	10/19/2013 9:54
2	azerbaijani	baku	azerbaijan	42	female	40	naturalistic	azerbaijani2.mov	azj	10/19/2013 9:54
3	azerbaijani	baku	azerbaijan	31	male	16	academic	azerbaijani3.mov	azj	10/19/2013 9:54
1	bafang	douala	cameroon	40	male	30	academic	bafang1.mov	fmp	6/15/2005 17:09
2	bafang	douala	cameroon	38	male	6	academic	bafang2.mov	fmp	10/31/2008 0:24
1	baga	conakry	guinea	31	male	29	academic	baga1.mov	bsp	6/15/2005 17:09
1	bai	jianchuan	china	43	female	40	academic	bai1.mov	bca	6/15/2005 17:09
1	balanta ganja	koussi	senegal	24	male	12	academic	balantaganja1.mov	bjt	12/3/2007 10:35
1	bambara	bamako	mali	15.5	female	12	academic	bambara1.mov	bam	6/15/2005 17:09
2	bambara	bamako	mali	26	female	18	academic	bambara2.mov	bam	6/15/2005 17:09
3	bambara	bamako	mali	22	male	12	academic	bambara3.mov	bam	6/15/2005 17:10
4	bambara	goudiri	senegal	26	male	14	academic	bambara4.mov	bam	9/23/2008 0:09
5	bambara	segou	mali	23	female	21	academic	bambara5.mov	bam	10/14/2008 12:23
1	bamun	foumban	cameroon	31	female	15	academic	bamun1.mov	bax	6/15/2005 17:09
1	bari	khartoum	sudan	34	male	6	academic	bari1.mov	bfa	2/16/2009 13:23
2	bari	khartoum	sudan	36	male	7	academic	bari2.mov	bfa	2/16/2009 13:23
1	basque	vizcaya	spain	69	female	34	naturalistic	basque1.mov	bqe	6/15/2005 17:09
2	basque	guernica	spain	50	male	19	naturalistic	basque2.mov	bqe	6/15/2005 17:09
1	bavarian	erding	germany	54	female	10	academic	bavarian1.mov	bar	5/23/2007 13:03
2	bavarian	berchtesgaden	germany	52	female	10	academic	bavarian2.mov	bav	2/9/2009 17:12
1	belarusan	chamiancy	belarus	25	male	11	academic	belarusan1.mov	bel	8/10/2005 11:34
2	belarusan	minsk	belarus	43	female	12	academic	belarusan2.mov	bel	3/13/2007 16:15
1	bengali	dhaka	bangladesh	23	male	16	academic	bengali1.mov	ben	8/29/2005 9:32
2	bengali	lusaka	zambia	25	female	2	naturalistic	bengali2.mov	ben	6/15/2005 17:09
3	bengali	dhaka	bangladesh	19	female	5	academic	bengali3.mov	ben	6/15/2005 17:09
4	bengali	chittagong	bangladesh	24	male	6	academic	bengali4.mov	ben	6/15/2005 17:09
5	bengali	dhaka	bangladesh	40	female	5	academic	bengali5.mov	ben	2/27/2007 11:06
6	bengali	jamshedpur	india	29	male	4	naturalistic	bengali6.mov	ben	2/27/2007 11:06
7	bengali	mymensingh	bangladesh	49	male	6	academic	bengali7.mov	ben	
8	bengali	noakhali	bangladesh	54	male	5	academic	bengali8.mov	ben	5/14/2007 12:33
9	bengali	kolkata	india	61	female	12	academic	bengali9.mov	ben	10/31/2008 0:24
10	bengali	dhaka	bangladesh	18	female	3	academic	bengali10.mov	ben	11/16/2008 22:18
11	bengali	durgapur	india	34	male	3.5	academic	bengali11.mov	ben	11/16/2008 22:19
12	bengali	sylhet	bangladesh	25	female	4	academic	bengali12.mov	ben	10/25/2012 22:46
13	bengali	dhaka	bangladesh	33	female	10	academic	bengali13.mov	ben	11/16/2013 11:41
1	bosnian	doboj	bosnia and herzegovina	39	male	37	academic	bosnian1.mov	bos	6/15/2005 17:09
2	bosnian	sarajevo	bosnia and herzegovina	21	male	10	naturalistic	bosnian2.mov	bos	6/15/2005 17:09
3	bosnian	sarajevo	bosnia and herzegovina	25	female	12	academic	bosnian3.mov	bos	1/30/2008 10:54
4	bosnian	travnik	bosnia and herzegovina	20	male	11	academic	bosnian4.mov	bos	9/3/2008 12:50
5	bosnian	travnik	bosnia and herzegovina	25	female	6	academic	bosnian5.mov	bos	9/3/2008 12:51
6	bosnian	zenica	bosnia and herzegovina	29	female	22	naturalistic	bosnian6.mov	bos	3/17/2009 15:43
7	bosnian	gornji vakuf	bosnia and herzegovina	24	female	10	academic	bosnian7.mov	bos	3/17/2009 15:44
8	bosnian	sarajevo	bosnia and herzegovina	24	female	15	academic	bosnian8.mov	bos	3/1/2009 11:00
9	bosnian	sarajevo	bosnia and herzegovina	47	male	5	academic	bosnian9.mov	bos	4/15/2011 17:25
1	bulgarian	plovdiv	bulgaria	25	female	16	academic	bulgarian1.mov	bul	6/15/2005 17:09
2	bulgarian	sofia	bulgaria	53	female	42	academic	bulgarian2.mov	bul	6/15/2005 17:09
3	bulgarian	sofia	bulgaria	27	male	10	academic	bulgarian3.mov	bul	6/15/2005 17:09
4	bulgarian	plovdiv	bulgaria	22	male	20	naturalistic	bulgarian4.mov	bul	6/15/2005 17:09
5	bulgarian	sofia	bulgaria	23	male	14	academic	bulgarian5.mov	bul	6/15/2005 17:09
6	bulgarian	ruse	bulgaria	27	male	11	naturalistic	bulgarian6.mov	bul	11/6/2006 10:50
7	bulgarian	stara zagora	bulgaria	18	male	13	academic	bulgarian7.mov	bul	9/14/2006 15:28
8	bulgarian	sofia	bulgaria	31	female	8	academic	bulgarian8.mov	bul	2/21/2008 12:26
9	bulgarian	ruse	bulgaria	31	female	10	academic	bulgarian9.mov	bul	7/25/2008 11:28
10	bulgarian	dobrich	bulgaria	21	female	15	academic	bulgarian10.mov	bul	9/29/2008 13:42
11	bulgarian	dobrich	bulgaria	24	male	16	academic	bulgarian11.mov	bul	9/29/2008 13:42
12	bulgarian	sofia	bulgaria	30	female	9	academic	bulgarian12.mov	bul	3/9/2012 21:21
13	bulgarian	chirpan	bulgaria	20	male	9	academic	bulgarian13.mov	bul	3/9/2012 21:22
14	bulgarian	sofia	bulgaria	46	male	30	academic	bulgarian14.mov	bul	4/14/2012 20:30
15	bulgarian	varna	bulgaria	22	male	10	naturalistic	bulgarian15.mov	bul	11/24/2013 9:31
1	burmese	yangon	myanmar	35	female	11	academic	burmese1.mov	mya	3/10/2012 17:15
2	burmese	yangon	myanmar	29	male	7	naturalistic	burmese2.mov	mya	2/11/2013 21:13
1	cantonese	hong kong	china	22	female	12	academic	cantonese1.mov	yue	6/15/2005 17:09
2	cantonese	hong kong	china	20	male	13	academic	cantonese2.mov	yue	6/15/2005 17:09
3	cantonese	hong kong	china	22	male	6	academic	cantonese3.mov	yue	6/15/2005 17:09
4	cantonese		china	29	female	13	academic	cantonese4.mov	yue	10/25/2011 14:55
5	cantonese	hong kong	china	18	male	14	academic	cantonese5.mov	yue	6/15/2005 17:09
6	cantonese	hong kong	china	25	male	5	academic	cantonese6.mov	yue	4/21/2008 10:55
7	cantonese	hong kong	china	31	male	4	academic	cantonese7.mov	yue	6/13/2006 14:10
8	cantonese	hong kong	china	23	female	2	academic	cantonese8.mov	yue	
9	cantonese	hong kong	china	22	male	7	academic	cantonese9.mov	yue	6/13/2006 14:10
10	cantonese	xiamen	china	25	female	3	academic	cantonese10.mov	yue	6/13/2006 14:10
11	cantonese	hong kong	china	22	female	3	academic	cantonese11.mov	yue	11/6/2006 10:50
12	cantonese	macau	china	20	female	4	academic	cantonese12.mov	yue	11/30/2006 15:08
13	cantonese	hong kong	china	21	female	3	academic	cantonese13.mov	yue	2/6/2008 11:50
14	cantonese	hong kong	china	19	female	3	academic	cantonese14.mov	yue	2/6/2008 11:50
15	cantonese	qingyuan	china	31	female	12	academic	cantonese15.mov	yue	
16	cantonese	hong kong	china	29	female	3	academic	cantonese16.mov	yue	5/5/2008 10:12
17	cantonese	hong kong	china	26	female	3	academic	cantonese17.mov	yue	
18	cantonese	hong kong	china	19	male	3	academic	cantonese18.mov	yue	5/5/2008 10:12
19	cantonese	hong kong	china	28	female	7	academic	cantonese19.mov	yue	4/7/2011 15:37
20	cantonese	hong kong	china	18	male	3	academic	cantonese20.mov	yue	2/11/2013 21:44
21	cantonese	hong kong	china	18	female	4	naturalistic	cantonese21.mov	yue	2/11/2013 22:01
1	carolinian	saipan	northern mariana islands	32	female	6	academic	carolinian1.mov	cal	6/15/2005 17:09
1	catalan	tarragona	spain	39	male	13	academic	catalan1.mov	cat	6/15/2005 17:09
2	catalan	mataro	spain	24	male	21	naturalistic	catalan2.mov	cat	10/25/2006 10:47
3	catalan	santiago	chile	51	female	11	naturalistic	catalan3.mov	cat	2/4/2011 20:05
4	catalan	barcelona	spain	21	female	11	academic	catalan4.mov	cat	3/9/2012 21:22
1	cebuano	cebu	philippines	21	female	1	naturalistic	cebuano1.mov	ceb	
1	chaldean	baghdad	iraq	41	male	5	naturalistic	chaldean1.mov	cld	2/4/2011 20:05
2	chaldean	baghdad	iraq	62	female	11	academic	chaldean2.mov	cld	2/4/2011 20:05
1	chamorro	saipan	northern mariana islands	18	male	1	naturalistic	chamorro1.mov	cha	6/15/2005 17:09
1	chichewa	mulanje	malawi	42	male	7	academic	chichewa1.mov	nya	11/26/2008 22:20
1	chittagonian	chittagong	bangladesh	39	male	12	academic	chittagonian1.mov	cit	8/30/2007 15:07
1	croatian	unije	croatia	81	female	16	academic	croatian1.mov	hrv	3/6/2006 10:07
2	croatian	mostar	bosnia and herzegovina	35	female	10	academic	croatian2.mov	hrv	11/6/2006 10:50
3	croatian	split	croatia	44	female	10	academic	croatian3.mov	hrv	
4	croatian	rijeka	croatia	38	male	11	academic	croatian4.mov	hrv	9/3/2008 12:55
5	croatian	tomislavgrad	bosnia and herzegovina	26	female	11	academic	croatian5.mov	hrv	3/17/2009 15:44
6	croatian	doboj	bosnia and herzegovina	23	female	14	academic	croatian6.mov	hrv	3/1/2009 10:58
7	croatian	rijeka	croatia	21	female	7	academic	croatian7.mov	hrv	2/12/2013 9:13
1	czech	prague	czech republic	27	female	10.5	academic	czech1.mov	ces	9/12/2005 9:28
2	czech	velky osek	czech republic	60	male	45	naturalistic	czech2.mov	ces	9/21/2006 15:33
3	czech	nachod	czech republic	35	male	14	academic	czech3.mov	ces	9/10/2007 12:39
4	czech	prague	czech republic	57	female	15	academic	czech4.mov	ces	4/16/2008 10:03
5	czech	klando	czech republic	26	female	16	academic	czech5.mov	ces	3/18/2009 11:36
6	czech	ostrava	czech republic	20	male	7	academic	czech6.mov	ces	3/9/2011 20:14
7	czech	ostrava	czech republic	22	female	11	academic	czech7.mov	ces	3/9/2012 21:23
8	czech	pizen	czech republic	21	female	7	naturalistic	czech8.mov	ces	11/15/2013 12:47
1	danish	horsens	denmark	45	female	11	academic	danish1.mov	dan	6/15/2005 17:09
2	danish	haslev	denmark	37	female	8	academic	danish2.mov	dan	6/15/2005 17:09
3	danish	copenhagen	denmark	53	female	12	academic	danish3.mov	dan	12/6/2010 15:35
4	danish	aarhus	denmark	21	female	11	academic	danish4.mov	dan	2/19/2013 16:59
5	danish	egvad	denmark	49	female	8	academic	danish5.mov	dan	2/19/2013 16:59
6	danish	alborg	denmark	19	male	8	academic	danish6.mov	dan	2/19/2013 16:59
7	danish	copenhagen	denmark	22	male	8	naturalistic	danish7.mov	dan	12/29/2012 11:45
8	danish	sunds	denmark	28	female	11	academic	danish8.mov	dan	5/30/2013 17:52
1	dari	kabul	afghanistan	25	female	13	academic	dari1.mov	gbz	6/15/2005 17:09
2	dari	kabul	afghanistan	55	male	12	academic	dari2.mov	prs	3/13/2007 16:15
3	dari	kabul	afghanistan	20	male	12	academic	dari3.mov	prs	3/13/2009 0:27
4	dari	kabul	afghanistan	59	male	13	academic	dari4.mov	prs	8/1/2013 23:34
5	dari	kabul	afghanistan	56	female	32	naturalistic	dari5.mov	prs	12/3/2013 0:02
1	dinka	rumbek	sudan	39	male	33	academic	dinka1.mov	dib	6/15/2005 17:10
1	dutch	nijmegen	netherlands	38	male	13	academic	dutch1.mov	nld	6/15/2005 17:09
2	dutch	amsterdam	netherlands	41	male	14	academic	dutch2.mov	nld	6/15/2005 17:09
3	dutch	alkmaar	netherlands	19	male	6	academic	dutch3.mov	nld	6/13/2006 14:10
4	dutch	bilzen	belgium	18	male	10	academic	dutch4.mov	nld	9/17/2007 10:28
5	dutch	rotterdam	netherlands	54	female	13	academic	dutch5.mov	nld	9/17/2007 10:28
6	dutch	brussels	belgium	46	female	10	academic	dutch6.mov	nld	3/19/2008 14:12
7	dutch	amsterdam	netherlands	68	male	10	academic	dutch7.mov	nld	7/16/2008 12:07
8	dutch	alphen aan de ryn	netherlands	35	female	12	academic	dutch8.mov	nld	7/16/2008 12:07
9	dutch	almelo	netherlands	68	female	12	academic	dutch9.mov	nld	7/16/2008 12:07
10	dutch	essen	belgium	39	male	12	naturalistic	dutch10.mov	nld	7/16/2008 12:07
11	dutch	brugge	belgium	41	male	14	academic	dutch11.mov	nld	7/25/2008 11:28
12	dutch	oosterbeek	netherlands	36	male	10	academic	dutch12.mov	nld	9/15/2008 12:49
13	dutch	zwolle	netherlands	33	female	10	academic	dutch13.mov	nld	11/9/2008 23:59
14	dutch	zwolle	netherlands	35	female	12	academic	dutch14.mov	nld	11/9/2008 23:59
15	dutch	nunspeet	netherlands	23	male	10	naturalistic	dutch15.mov	nld	4/7/2011 15:36
16	dutch	antwerp	belgium	23	female	12	academic	dutch16.mov	nld	3/17/2011 9:51
17	dutch	wilrijk	belgium	21	female	12	academic	dutch17.mov	nld	4/15/2011 17:25
18	dutch	antwerp	belgium	23	male	14	academic	dutch18.mov	nld	4/15/2011 17:24
19	dutch	heist-op-den-berg	belgium	22	female	11	academic	dutch19.mov	nld	3/24/2011 9:23
20	dutch	vlaams-brabant	belgium	21	female	13	academic	dutch20.mov	nld	4/22/2011 17:27
21	dutch	diest	belgium	21	female	13	academic	dutch21.mov	nld	4/22/2011 17:28
22	dutch	essen	belgium	23	female	13	academic	dutch22.mov	nld	4/1/2011 13:26
23	dutch	antwerp	belgium	23	male	13	academic	dutch23.mov	nld	4/27/2011 21:46
24	dutch	seoul	south korea	23	female	14	academic	dutch24.mov	nld	4/27/2011 21:46
25	dutch	wilrijk	belgium	23	female	13	academic	dutch25.mov	nld	4/22/2011 17:30
26	dutch	turnhout	belgium	23	female	13	academic	dutch26.mov	nld	5/4/2011 20:25
27	dutch	antwerp	belgium	21	female	13	academic	dutch27.mov	nld	5/4/2011 20:26
28	dutch	antwerp	belgium	22	male	8	naturalistic	dutch28.mov	nld	4/22/2011 17:31
29	dutch	ede	netherlands	29	male	7	academic	dutch29.mov	nld	5/12/2011 14:04
30	dutch	sint-niklaas	belgium	21	female	14	academic	dutch30.mov	nld	3/16/2012 19:29
31	dutch	antwerp	belgium	23	female	13	academic	dutch31.mov	nld	3/16/2012 19:30
32	dutch	brasschaat	belgium	21	male	14	academic	dutch32.mov	nld	2/19/2013 20:30
33	dutch	mechelen	belgium	22	female	9	naturalistic	dutch33.mov	nld	2/19/2013 20:31
34	dutch	bornem	belgium	22	female	14	academic	dutch34.mov	nld	2/19/2013 20:32
35	dutch	mortsel	belgium	21	female	13	academic	dutch35.mov	nld	2/19/2013 20:33
36	dutch	turnhout	belgium	21	female	12	academic	dutch36.mov	nld	2/19/2013 20:34
37	dutch	antwerp	belgium	21	female	11	academic	dutch37.mov	nld	3/24/2013 20:13
38	dutch	beveren	belgium	21	female	12	academic	dutch38.mov	nld	3/24/2013 20:13
39	dutch	hardinxveld-giessendam	netherlands	22	female	10	academic	dutch39.mov	nld	3/24/2013 20:14
40	dutch	dordrecht	netherlands	25	male	9	academic	dutch40.mov	nld	3/24/2013 20:14
41	dutch	deventer	netherlands	41	male	13	academic	dutch41.mov	nld	3/24/2013 20:14
